file_name,creation_timestamp,row_count,md5_checksum,schema_version
user_master.parquet,2025-12-11T01:10:36.091687,10000,8cec3f1d70404fb368cb8f50bbd3d953,v1.1
monthly_revenue.parquet,2025-12-11T01:10:36.103642,12,d9fa674f07bd092649735a22a2841068,v1.1
monthly_funnel.parquet,2025-12-11T01:10:36.112705,12,de2aa9883166d2d809c62d7e308310a2,v1.1
cohort_retention.parquet,2025-12-11T01:10:36.122143,78,9f1b9a6e9b8fb2806440d2136975cefa,v1.1
support_summary.parquet,2025-12-11T01:10:36.134191,12,154c4b2a4f901b6edd7f7ed2cc954bf0,v1.1
user_event_summary.parquet,2025-12-11T01:10:36.173005,9982,d9556413582783803742c728578cb351,v1.1
churn_flags.parquet,2025-12-11T01:10:36.181604,160,69716b397470936fd10d3abaa2b64d00,v1.1
