file_name,creation_timestamp,row_count,md5_checksum,schema_version
user_master.parquet,2025-12-11T01:59:54.474878,10000,8cec3f1d70404fb368cb8f50bbd3d953,v1.1
monthly_revenue.parquet,2025-12-11T01:59:54.507726,12,27d930b667a5893607a39b3cb21df3a5,v1.1
monthly_funnel.parquet,2025-12-11T01:59:54.514009,12,de2aa9883166d2d809c62d7e308310a2,v1.1
cohort_retention.parquet,2025-12-11T01:59:54.518869,78,9f1b9a6e9b8fb2806440d2136975cefa,v1.1
support_summary.parquet,2025-12-11T01:59:54.524117,12,154c4b2a4f901b6edd7f7ed2cc954bf0,v1.1
user_event_summary.parquet,2025-12-11T01:59:54.546972,9982,d9556413582783803742c728578cb351,v1.1
churn_flags.parquet,2025-12-11T01:59:54.553082,160,69716b397470936fd10d3abaa2b64d00,v1.1
